name,age,salary
ArinaÀðèíà123,120,1000000
ArinaÀðèíà123,17,0
ArinaÀðèíà123,121,1000001
ArinaÀðèíà123, , 
ArinaÀðèíà123,-18,-18
ArinaÀðèíà123,"18,1","18,1"
ArinaÀðèíà123,"18,1","18,1"
ArinaÀðèíà123,Qé,Qé
ArinaÀðèíà123,true,true
ArinaÀðèíà123,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\","~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\"
ArinaÀðèíà123,20,20
ArinaÀðèíà123,35 ,35 
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",120,0
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",17,1000001
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",121, 
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\", ,18
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",-18,"18,1"
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\","18,1","18,1"
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\","18,1",Qé
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",Qé,true
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",true,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\"
"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\","~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",20
Að1,120,1000001
Að1,17, 
Að1,121,18
Að1, ,-18
Að1,-18,"18,1"
Að1,"18,1",Qé
Að1,"18,1",true
Að1,Qé,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\"
Að1,true,20
Að1,20,35 
Að1,0,1
ArinaÀðèíà123456789012345678901234567890,17,18
ArinaÀðèíà123456789012345678901234567890,121,-18
ArinaÀðèíà123456789012345678901234567890, ,"18,1"
ArinaÀðèíà123456789012345678901234567890,18,"18,1"
ArinaÀðèíà123456789012345678901234567890,-18,Qé
ArinaÀðèíà123456789012345678901234567890,"18,1",true
ArinaÀðèíà123456789012345678901234567890,"18,1","~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\"
ArinaÀðèíà123456789012345678901234567890,Qé,20
ArinaÀðèíà123456789012345678901234567890,true, 35
ArinaÀðèíà123456789012345678901234567890,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",35 
ArinaÀðèíà123456789012345678901234567890,20,1
ArinaÀðèíà123456789012345678901234567890,35 ,1
ArinaÀðèíà123456789012345678901234567890,0,35
ArinaÀðèíà123456789012345678901234567890,18,1000000
ArinaÀðèíà123456789012345678901234567890,18,0
ArinaÀðèíà123456789012345678901234567890,35,1000001
ArinaÀðèíà123456789012345678901234567890,120, 
   ,121,"18,1"
   , ,"18,1"
   ,18,Qé
   ,-18,true
   ,"18,1","~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\"
   ,"18,1",20
   ,Qé, 35
   ,true,35 
   ,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",1
   ,20,35
   ,35 ,35
   ,0,1000000
   ,18,0
   ,18,1000001
   ,35, 
   ,120,18
   ,17,-18
 Arina, ,Qé
 Arina,18,true
 Arina,-18,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\"
 Arina,"18,1",20
 Arina,"18,1", 35
 Arina,Qé,35 
 Arina,true,1
 Arina,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",35
 Arina,20,1
 Arina,35 ,1000000
 Arina,0,0
 Arina,18,1000001
 Arina,18, 
 Arina,35,18
 Arina,120,-18
 Arina,17,"18,1"
 Arina,121,"18,1"
Arina ,18,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\"
Arina ,-18,20
Arina ,"18,1", 35
Arina ,"18,1",35 
Arina ,Qé,1
Arina ,true,35
Arina ,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",1
Arina ,20,35
Arina , 35,1000000
Arina ,35 ,0
Arina ,0,1000001
Arina ,18, 
Arina ,18,18
Arina ,35,-18
Arina ,120,"18,1"
Arina ,17,"18,1"
Arina ,121,Qé
Arina , ,true
true,-18, 35
true,"18,1",35 
true,"18,1",1
true,Qé,35
true,true,1
true,"~!@#$%^&*-+{}|:”>?<¨!”¹;%:?*()_Ú,/.’[]\",35
true,20,1000000
true, 35,0
true,35 ,1000001
true,0, 
true,18,18
true,18,-18
true,35,"18,1"
true,120,"18,1"
true,17,Qé
true,121,true
