name,age,salary
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18,1
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",20,20
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","  ","  "
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18 ,18 
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1 8,1 8
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",121,1000001
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",17,0
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",-18,-18
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1.8,1.8
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",true,true
Që1,18,20
Që1,20,"  "
Që1,18 ,1 8
Që1,1 8,1000001
Që1,121,0
Që1,-18,1.8
Që1,1.8,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
Që1,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",true
"   ","  ",18 
"   ", 18,1 8
"   ",18 ,1000001
"   ",1 8,0
"   ",121,18
"   ",17,-18
"   ",18,1.8
"   ",-18,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
"   ",1.8,true
"   ","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1000000
"   ",true,1000000
"   ",120,1
"   ",120,20
"   ",18,"  "
" Arina","  ",1 8
" Arina", 18,1000001
" Arina",18 ,0
" Arina",1 8,18
" Arina",121,-18
" Arina",17,1.8
" Arina",18,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
" Arina",-18,true
" Arina",1.8,1000000
" Arina","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1000000
" Arina",true,1
" Arina",120,20
" Arina",120,"  "
" Arina",20,18 
"Arina ", 18,0
"Arina ",18 ,18
"Arina ",1 8,-18
"Arina ",121,1.8
"Arina ",17,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
"Arina ",18,true
"Arina ",-18,1000000
"Arina ",1.8,1000000
"Arina ","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1
