name,age,salary
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",2000e-2,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",  ,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹", 18,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18 ,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1 8,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",121,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",17,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",+18,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",-18,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1.8,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",TRUE,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",null,1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,1
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,2000e-2
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,  
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120, 18
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,18 
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,1 8
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,1000001
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,0
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,+18
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,-18
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,1.8
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,TRUE
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,null
Që1,120,1000000
"",120,1000000
"   ",120,1000000
" Arina",120,1000000
"Arina ",120,1000000
Që,120,1000000
"QqËë12345 *?/\|<>,.()[]{},:'""!@#$%^&`~+-¹",120,1000000
1.23,120,1000000
TRUE,120,1000000
